portrait,"first name","last name","master ability","job 1","job 2","job 3",hp,attack,tp,magic,ap,speed,move,dexterity,jump,range,luck,cost,rarity,limited,region,global_release
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/1/15/Unit_lapsmont.png?version=081ce10118f75e8f2f277c2991a32648,Mont,Leonis,"Defense + 15, Jump + 1",Lord,Paladin,Knight,2228,168,105,54,123,46,4,143,1,1,136,50,MR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/4/46/Unit_lapsriry.png?version=f49d3753dc3d0da9460dd0d3b20d7de1,Rairyuu,NULL,"Dexterity + 15%, Critical Damage + 15%, Range + 1",Gunner,Thief,"Red Mage",1410,178,106,64,99,59,3,136,1,4,133,60,MR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/7/78/Unit_ff14ystl.png?version=c7c7662ef1f94e4062cc24e8d8275bd7,Y'shtola,NULL,"Max TP + 15%, AP Gain + 30%",Sorceress,"White Mage","Green Mage",1020,58,160,191,122,53,3,124,1,1,112,50,MR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/8/81/Unit_fft0gfgr.png?version=7c8bf13c476ed100f85ae8b691d965f3,Goffard,Gaffgarion,"Initial AP + 10%, Critical Damage + 25%","Fell Knight",Warrior,Monk,1227,240,102,59,95,51,3,124,1,1,120,50,MR,yes,Both,2020-04-22
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/4/43/Unit_lapshlna.png?version=4d0cd6904295337e639a6e7d36299e80,Helena,Leonis,"Magic + 30%, Speed + 10%","Green Mage","Time Mage","White Mage",1309,58,156,213,141,53,3,115,1,1,146,50,MR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/f/f2/Unit_lapsramd.png?version=60e3526b657b7408a9195573d36047c1,Ramada,NULL,"Max TP + 30%, Pierce Attack + 20",Lancer,"Rune Knight",Thief,1832,156,101,67,91,48,3,154,1,2,162,60,MR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/c/c8/Unit_lapspray.png?version=e8b93ea715f0c2d48a3ace8027a17e1b,Grace,NULL,"Magic + 20%, Resistance to All Attack Types + 10","White Mage","Green Mage",Lancer,1084,66,154,161,130,53,3,126,1,1,133,50,MR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/b/b0/Unit_lapscley.png?version=df710e500a178f093c8ad87b4a25f83a,Khury,Wezette,"Max HP + 15%, AP Gain + 30%, Starter AP + 10",Hunter,Dragoon,"Green Mage",1254,156,118,72,111,48,3,156,2,3,136,50,MR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/9/98/Unit_lapsoooo.png?version=0d2510a807931c13dd84cdf7f488cafc,Owe,NULL,"Attack + 20%, Evasion + 15",Samurai,Warrior,Ninja,1564,179,95,54,90,53,3,153,1,1,143,60,MR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/0/04/Unit_lapslrnz.png?version=d0b1eb8ad96468510a99acb91c7ff363,Lorenzo,NULL,"Max HP + 25%, Defense + 10",Dragoon,Lancer,"Time Mage",1878,167,118,59,111,41,3,142,4,2,147,50,MR,no,Both,2020-03-25
