portrait,"first name","last name","master ability","job 1","job 2","job 3",hp,attack,tp,magic,ap,speed,move,dexterity,jump,range,luck,cost,rarity,limited,region,global_release
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/c/cb/Unit_lapsmdna.png?version=1994a6aedc3b532445bd774c3f104cc0,Medina,NULL,"Magic + 30%","Black Mage","Green Mage",Ninja,1636,79,165,266,155,53,3,153,1,1,142,80,UR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/a/af/Unit_lapsenbt.png?version=112a9929514ff345b48766826610ed00,Engelbert,NULL,"Defense + 15",Paladin,Kinight,Monk,3225,218,121,62,115,48,3,143,1,1,173,70,UR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/0/03/Unit_lapsayka.png?version=19749d5277e470e0dfc2d562e6571416,Ayaka,NULL,"Max HP + 10%, Stop Resistance + 20","White Mage","Green Mage","Time Mage",1881,72,207,231,176,60,3,118,1,1,142,80,UR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/2/23/Unit_lapsfdrc.png?version=382d8da71e4f7031dd7518bee9a405eb,Frederika,NULL,"Missle Attack + 15",Gunner,Ninja,Hunter,1988,195,126,72,119,63,3,210,1,4,116,80,UR,no,Both,2020-04-01
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/8/8d/Unit_fft0ornd.png?version=852f6ce98ec590f17d11dc85befce450,Cidolfus,Orlandeau,"Slash Attack + 10, Defense + 5","Sword Saint",Samurai,Knight,2336,281,123,78,116,55,3,147,1,1,136,80,UR,yes,Both,2020-04-22
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/1/1a/Unit_ff14tncr.png?version=b62f05cd8ab2839d202418169a0192d4,Thancred,NULL,"Max HP + 10%, Slash Attack + 10",Gunbreaker,Dragoon,"Red Mage",3060,233,133,70,126,53,3,131,1,1,164,100,UR,yes,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/1/19/Unit_lapsstrn.png?version=ef3c3adc7a2e80268b437d42e5d95b01,Sterne,Leonis,"Critical Damage + 25%",Soldier,Dragoon,Ninja,1513,315,126,75,119,59,3,168,1,1,131,80,UR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/6/65/Unit_lapsglms.png?version=3dc51aa76f724dc7f9ead4c3622b1c28,Gilgamesh,NULL,"Speed + 10%, Slash Attack + 10","Winged One","Time Mage",Soldier,1698,235,138,196,131,56,3,136,1,1,120,100,UR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/7/73/Unit_lapselde.png?version=4f8e029f7e42194e97eb52c8a8f8daba,Oelde,Leonis,"Max HP + 10%, Attack + 20%",Lancer,Monk,Samurai,2338,281,126,62,120,52,3,154,1,2,139,80,UR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/d/db/Unit_lapsrobb.png?version=6fea89e0825779aa6e5f3a52bb9ad16c,Robb,Hourne,"Critical Hit Rate + 10, Evasion Rate + 5",Samurai,Lancer,Soldier,1533,241,126,66,120,59,3,150,1,1,151,80,UR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/2/2b/Unit_lapsziza.png?version=bf37dc12f49de242e6a8a9c611e33105,Xiza,NULL,"Strike ATK + 5, Evasion Rate + 10",Monk,Thief,Lancer,2079,225,117,64,110,62,3,168,2,1,149,80,UR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/a/a1/Unit_lapsyerm.png?version=df87f0c3d928390c6e8fc29eaf107788,Yerma,NULL,"	Critical Damage + 15%, Accuracy Rate + 10",Viking,Knight,Thief,1993,279,126,65,119,53,3,178,1,1,135,80,UR,no,Both,2020-04-08
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/6/68/Unit_fft0ramz.png?version=7845f7d71a9dea9d57f50d7e6320e57b,Ramza,Beoulve,"Max HP + 10%, Slash Attack + 10",Squire,Spellblade,Ninja,2160,264,117,239,106,52,3,155,2,1,147,80,UR,yes,Both,2020-04-22
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/8/82/Unit_lapswhis.png?version=04ec918c9f3a8a1346edf50eb4a3a2b7,Whisper,Sasayaki,"Slash Attack + 5, Resistance to All Attack Types + 5",Knight,Samurai,Spellblade,1661,213,130,96,120,53,3,149,1,1,170,70,UR,no,Both,2020-05-06
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/d/d9/Unit_lapskton.png?version=a1bd0634c164a7f891adee717a45df58,Kitone,NULL,"Evasion + 15",Ninja,Soldier,"Time Mage",1718,251,129,85,122,61,4,166,3,1,157,80,UR,no,Both,2020-05-06
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/6/66/Unit_lapsailn.png?version=6c11190acf3898d51e04b335a8e38611,Aileen,NULL,"Max TP + 10%, Pierce Attack + 10",Lancer,Warrior,Soldier,1955,287,135,69,127,49,3,162,1,2,136,70,UR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/c/cc/Unit_lapsmacr.png?version=266602dbb12d1e6c9de9084dc14a544d,Macherie,Hourne,"Max TP + 10%, Speed + 10%",Cleric,Monk,"Black Mage",2074,107,168,209,158,52,3,142,1,1,106,70,UR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/e/ea/Unit_lapsmrnd.png?version=3528adda072502032a0ca44d601ef5ee,Miranda,NULL,"Attack + 15%, Magic + 15%, Defense + 5","Red Mage","Time Mage",Paladin,2090,188,157,208,149,54,3,135,2,1,141,80,UR,no,Both,2020-05-20
http://wotvffbe.gamea.co/file/content/fm874m0k/8sygjh5j/658977/e47b7c7277c997847f3ecedfeb0c000933611688_500.jpg,Ramada,Xmas,"Critical Rate + 10, Attack + 10%",Soldier,Ninja,Monk,1779,315,121,75,115,59,3,142,1,1,131,80,UR,yes,JP,NULL
http://wotvffbe.gamea.co/file/imgbank/fm874m0k/19x7556r/f540916780c80460888d74784651a31b86039188_l.jpg,Macherie,Xmas,"Ice Resistance + 10, Speed + 10%",Dragoon,Viking,Hunter,2442,259,135,64,127,52,3,151,4,2,122,80,UR,yes,JP,NULL
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/b/ba/Unit_lapsluca.png?version=ba177b1add4b29e91a5f44c96789d621,Lu'Cia,NULL,"Attack + 10%, Earth Killer + 15%","Double Gunner",Hunter,Monk,1812,248,130,69,123,58,3,202,1,4,134,80,UR,no,Both,2020-06-03
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/8/8d/Unit_lapsvktr.png?version=259cd2954b4418d6d2cccd878c6b3333,Viktora,NULL,"Pierce Attack + 10, Cast Time - 20%",Dragoon,Soldier,Thief,2259,261,126,69,119,54,3,154,4,2,156,70,UR,no,Both,2020-06-17
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/0/09/Unit_lapsrain.png?version=d2b4a4dd524f441446b4270ac51b5d1a,Rain,NULL,"Spirit + 15","Knight of Grandshelt","Red Mage",Knight,2989,143,142,226,134,55,3,154,1,1,157,80,UR,no,Both,2020-07-01
